name,Cd,Cl,NU,inlet_velocity,angle_of_attack_c,reynolds
airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0.02275834973573578,0.015102459924614614,1.5498148291427463e-05,36.622,11.319,2362991.9724188494
airFoil2D_SST_58.831_-3.563_2.815_4.916_10.078,0.00858450171535667,0.0015372618659804692,1.5498148291427463e-05,58.831,-3.563,3796001.876723645
airFoil2D_SST_43.327_8.905_4.236_6.511_10.744,0.01664495068169431,0.009404120397593547,1.5498148291427463e-05,43.327,8.905,2795624.302031333
airFoil2D_SST_89.151_4.462_0.974_4.094_1.0_19.856,0.010659792341436944,0.0035159017239543826,1.5498148291427463e-05,89.151,4.462,5752364.625992923
airFoil2D_SST_87.422_2.992_1.895_3.128_1.0_10.656,0.008344108869358572,0.0015832206511833481,1.5498148291427463e-05,87.422,2.992,5640802.911168167
airFoil2D_SST_42.531_-3.927_1.264_6.838_0.0_7.489,0.008813429873831524,0.001681670226671114,1.5498148291427463e-05,42.531,-3.9270000000000005,2744263.327479277
airFoil2D_SST_46.246_9.78_3.769_2.353_17.745,0.01884860274187422,0.011195074386209153,1.5498148291427463e-05,46.246,9.78,2983969.383334665
airFoil2D_SST_67.481_-1.259_5.136_2.438_18.882,0.01056145337109688,0.0031200206524427962,1.5498148291427463e-05,67.481,-1.2589999999999997,4354133.070034306
airFoil2D_SST_45.701_-1.925_0.671_7.455_0.0_12.285,0.009129883269328936,0.0015767976575880392,1.5498148291427463e-05,45.701,-1.9250000000000003,2948803.8919642246
airFoil2D_SST_85.488_6.826_3.112_3.445_1.0_17.471,0.012169860803131616,0.005119453105449356,1.5498148291427463e-05,85.488,6.826,5516013.809681136
airFoil2D_SST_56.177_2.108_1.208_3.592_0.0_14.763,0.009555672144638556,0.0020918790785585473,1.5498148291427463e-05,56.177,2.108,3624755.612325206
airFoil2D_SST_46.0_-0.095_2.322_1.874_16.58,0.010173291305423325,0.002383169700379653,1.5498148291427463e-05,46.0,-0.09499999999999999,2968096.519339934
airFoil2D_SST_81.846_10.688_0.402_4.721_0.0_11.955,0.013469485423235877,0.007153087336604108,1.5498148291427463e-05,81.846,10.688,5281017.993954266
airFoil2D_SST_56.749_1.468_1.967_7.293_1.0_8.866,0.008413993399137905,0.0012220129861034966,1.5498148291427463e-05,56.749,1.468,3661663.2473048246
airFoil2D_SST_41.403_-2.446_1.908_4.316_0.0_5.008,0.008314986223990257,0.0013858779159409002,1.5498148291427463e-05,41.403,-2.446,2671480.4389180713
airFoil2D_SST_44.858_13.36_1.546_3.174_1.0_10.604,0.020486606240283856,0.014208938538095895,1.5498148291427463e-05,44.858,13.36,2894410.297055451
airFoil2D_SST_71.85_7.865_2.88_6.646_0.0_18.137,0.014250440648367398,0.00696011385223799,1.5498148291427463e-05,71.85,7.865,4636037.715534222
airFoil2D_SST_90.26_10.644_0.076_3.962_1.0_18.874,0.014395379310320654,0.007581488069169241,1.5498148291427463e-05,90.26,10.644,5823921.5616439665
airFoil2D_SST_66.028_3.694_1.787_7.157_1.0_8.637,0.008721364250217562,0.0017561647925201202,1.5498148291427463e-05,66.028,3.6940000000000004,4260379.934325591
airFoil2D_SST_60.333_1.218_3.932_7.599_1.0_9.745,0.009049418646259627,0.0018466378426332047,1.5498148291427463e-05,60.333,1.2180000000000002,3892916.6804638314
airFoil2D_SST_46.693_1.675_6.35_3.342_19.183,0.01345299825549088,0.005469638995785832,1.5498148291427463e-05,46.693,1.6750000000000003,3012811.538642164
airFoil2D_SST_72.844_3.105_2.426_4.619_19.695,0.011113234860099425,0.0036853171675700408,1.5498148291427463e-05,72.844,3.105,4700174.409886916
airFoil2D_SST_78.775_6.707_3.096_0.0_14.402,0.01039089473186138,0.0035039759092947674,1.5498148291427463e-05,78.775,6.706999999999999,5082865.289369637
airFoil2D_SST_66.62_-0.743_0.839_4.397_14.875,0.009033225854114972,0.0017599095793410231,1.5498148291427463e-05,66.62,-0.743,4298578.046052748
airFoil2D_SST_74.539_-1.677_1.68_5.819_1.0_12.084,0.008351050238635471,0.0013773264759024582,1.5498148291427463e-05,74.539,-1.6769999999999998,4809542.314240855
